,Name
438,Roshan Siriwardene Mahanama
439,Keshav A Maharaj
440,Mohamed Farveez Maharoof
441,Mahbubul Alam
442,Mahbubur Rahman
443,James P Maher
444,Sajid I Mahmood
445,Mahmood Hamid
446,Mohammad Mahmudullah
447,Ngonidzashe B Mahwire
448,Gregor I Maiden
449,Majid Khan
450,Devon E Malcolm
451,Ashok Malhotra
452,Separamadu Lasith Malinga
453,Gyanendra Malla
454,Ashley A Mallett
455,Michael F Malone
456,Maninder Singh
457,Sanjay Vijay Manjrekar
458,Manjural Islam
459,Manjural Islam Rana
460,Ashok V Mankad
461,Graham A Manou
462,Mansoor Akhtar
463,Mansoor Amjad
464,Mansoor Rana
465,Manzoor Akhtar
466,Manzoor Elahi
467,Maqsood Rana
468,Ishwar Maraj
469,Alester Maregwede
470,Douglas A Marillier
471,Aiden Kyle Markram
472,Victor J Marks
473,Geoffrey Robert Marsh
474,Mitchell R Marsh
475,Rodney William Marsh
476,Shaun Edward Marsh
477,Cecil A Marshall
478,Hamish J H Marshall
479,James A H Marshall
480,Malcolm D Marshall
481,Xavier M Marshall
482,Anthony Martin
483,Christopher Stewart Martin
484,Gary C Martin
485,Jacob J Martin
486,Peter J Martin
487,Damien R Martyn
488,Timycen Maruma
489,Hamilton Masakadza
490,Shingirai W Masakadza
491,Wellington Pedzisai Masakadza
492,Adrian D Mascarenhas
493,Mashrafe Bin Mortaza
494,Michael J Mason
495,Masood Iqbal
496,Steve J Massiah
497,Robert A L Massie
498,Prince S Masvaure
499,Everton Matambanadzo
500,Angelo Davis Mathews
501,Andrew W Mathieson
502,Stuart Matsikenyeri
503,Craig R Matthews
504,Gregory Richard John Matthews
505,Everton H Mattis
506,Bryan M Mauricette
507,Brandon Anesu Mavuta
508,Tinotenda M K Mawoyo
509,Donovan E S Maxwell
510,Glenn James Maxwell
511,Timothy Brian Alexander May
512,Matthew P Maynard
513,Mazhar Hussain
514,Mazharul Haque
515,Mpumelelo Mbangwa
516,Cameron McAuslan
517,Andrew Robert McBrine
518,William K McCallan
519,Neil F I McCallum
520,Rory D McCann
521,Graeme J McCarter
522,Barry J McCarthy
523,Mitchell J McClenaghan
524,James Alexander McCollum
525,Richard B McCosker
526,Obed Christopher McCoy
527,Brendon B McCullum
528,Nathan L McCullum
529,Rodney J McCurdy
530,Craig J McDermott
531,Paul E McEwan
532,Neil C McGarrell
533,Peter D McGlashan
534,Anthony McGrath
535,Glenn D McGrath
536,Andrew J McKay
537,Clinton J McKay
538,Brian J McKechnie
539,Scott Stephen McKechnie
540,Graham D McKenzie
541,Neil D McKenzie
542,Ryan  McLaren
543,Nixon A M McLean
544,Hamish McLeod
545,Brian M McMillan
546,Craig D McMillan
547,Ervin B McSweeney
548,Stuart C Meaker
549,Mehidy Hasan Miraz
550,Mehmood Quaraishy
551,Vijay Mehra
552,Mehrab Hossain
553,Mehrab Hossain
554,Praful S Mehta
555,Mohammed A Meman
556,Balapuwaduge Ajantha Winslow Mendis
557,Balapuwaduge Kusal Gimhan Mendis
558,Balapuwaduge Manukulasuriya Amith Jeevan Mendis
559,Louis Rohan Duleep Mendis
560,Manimeldura C Mendis
561,Joe M Mennie
562,Keegan O Meth
563,Paras L Mhambrey
564,David A Miller
565,Geoffrey Miller
566,Nikita O'Brien Miller
567,Jonathan P Millmow
568,Kyle D Mills
569,Adam F Milne
570,Minhajul Abedin
571,Dean A Minors
572,Solomon Farai Mire
573,Mirwais Ashraf
574,Misbah-ul-Haq
575,Amit Mishra
576,Tanmay Mishra
577,Abhimanyu Mithun
578,Hitesh S Modi
579,Mohammad Akram
580,Mohammad Amir
581,Mohammad Ashraful
582,Mohammad Asif
583,Mohammad Aslam
584,Mohammad Boota
585,Mohammad Hafeez
586,Mohammad Hussain
587,Mohammad Iqbal
588,Mohammad Irfan
589,Mohammad Ishaq
590,Mohammad Kashif
591,Mohammad Khalil
592,Mohammad Mithun Ali
593,Mohammad Nabi
594,Mohammad Naveed
595,Mohammad Nawaz
596,Mohammad Rafique
597,Mohammad Rizwan
598,Mohammad Saifuddin
599,Mohammad Salim
600,Mohammad Salman
601,Mohammad Sami
602,Mohammad Shahzad
603,Mohammad Shahzad
604,Mohammad Talha
605,Mohammad Tauqir
606,Mohammad Wasim
607,Mohammad Yousuf
608,Mohammad Zahid
609,Dave Mohammed
610,Jason Nazimuddin Mohammed
611,Mohammed Nazir
612,Mohammed Qasim
613,Mohammed Shami Ahmed
614,Mohammed Sharif
615,Mohammed Siraj
616,Debashish S Mohanty
617,Mohibullah Paak
618,Mohsin Kamal
619,Mohsin Khan
620,Moin Khan
621,Moin-Ul-Atiq
622,Geert-Maarten C Mol
623,Hendrik J Mol
624,Mominul Haque
625,Preston L Mommsen
626,Dinesh Mongia
627,Nayan R Mongia
628,Moniruzzaman
629,Thomas Masson Moody
630,John F Mooney
631,Paul J K  Mooney
632,Peter Joseph Moor
633,Kiran S More
634,Vani V Morea
635,Daniel W O Morgan
636,Eoin J G Morgan
637,Johannes A Morkel
638,Morne Morkel
639,Christopher Henry Morris
640,John E Morris
641,Daniel Kyle Morrison
642,John F M Morrison
643,Morshed Ali Khan
644,Runako S Morton
645,Mosaddeck Hossain
646,Ezra A Moseley
647,Mosharraf Hossain
648,Jeffrey K Moss
649,Martyn D Moxon
650,Phenyo V Mpitsang
651,Christopher Bobby Mpofu
652,Natsai M'shangwe
653,Jehan Mubarak
654,Mudassar Bukhari
655,Mudassar Nazar
656,Tafadzwa V Mufambisi
657,Muhammad Usman
658,Mujahid Jamshed
659,Mujeeb Ur Rahman
660,Saradindu P Mukherjee
661,Saleem Mukuddem
662,Jacob Mulder
663,Pieter Willem Adriaan Mulder
664,Ashif A Mulla
665,Mohsin Mulla
666,Alan D Mullally
667,Carl T Mumba
668,Arachchige M N Munasinghe
669,Eldeniya Medagedara Dilshan Yasika Munaweera
670,Munir Dar
671,Colin Munro
672,Henry G Munsey
673,Tawanda Mupariwa
674,Muttiah Muralitharan
675,Bryan G Murgatroyd
676,Brian A Murphy
677,David Murphy
678,David A Murray
679,Darrin J Murray
680,Deryck Lance Murray
681,Junior Randalph Murray
682,Ryan Craig Murray
683,Timothy James Murtagh
684,Tarisai Kenneth Musakanda
685,Mushfiqur Rahim
686,Mushfiqur Rahman
687,Mushtaq Ahmed
688,Mushtaq Mohammad
689,Mustafizur Rahman
690,Philip Mustard
691,David T Mutendera
692,Forster Mutizwa
693,Tinotenda C Mutombodzi
694,Richmond Mutumbami
695,Blessing Muzarabani
696,Taurai Muzarabani
697,Waddington Mwayenga
698,Stephanus J Myburgh
699,Ganesh Mylvaganam
700,Nadeem Ahmed
701,Nadeem Ghauri
702,Nadeem Khan
703,Naeem Ahmed
704,Naeem Ashraf
705,Naeem Islam
706,Naeemuddin Aslam
707,Nafis Iqbal
708,Mahendra V Nagamootoo
709,John Nagenda
710,Sudhir S Naik
711,Naimuir Rahman
712,Karun Kaladharan Nair
713,Najaf Shah
714,Najeeb Amar
715,Najeeb Tarakai
716,Najibullah Zadran
717,Parbhu G Nana
718,Dirk P Nannes
719,Alei Nao
720,Sunil Philip Narine
721,Naseer Malik
722,Brendan P Nash
723,Dion J Nash
724,Nasim-Ul-Ghani
725,Nasir Ahmed
726,Nasir Aziz
727,Nasir Hameed
728,Nasir Hossain
729,Nasir Jamal Ahmadzai
730,Nasir Jamshed
731,Nasir Javed
732,Naumanullah
733,Naved Anjum
734,Naved Latif
735,Naved-ul-Hasan
736,Naveen -ul-Haq
737,Mohamed N Nawaz
738,Nawroz Mangal
739,Surendra V Nayak
740,H G Dharshana Nayanakanatha
741,Abhishek M Nayar
742,Mohammed Nazimuddin
743,Nazmul Hossain
744,Nazmul Hossain Shanto
745,Nazmul Islam
746,Njabulo Ncube
747,James Douglas Sheahan Neesham
748,Neeyamur Rashid
749,Ashish Nehra
750,Andre Nel
751,Johann D Nel
752,Michael Gertges Neser
753,Tarun S Nethula
754,Christopher J Nevin
755,Richard Ngarava
756,Lungisani Ngidi
757,James O Ngoche
758,Shem O Ngoche
759,Henry M Nicholls
760,Robert J Nicol
761,Ian A Nicolson
762,Ruud G Nijman
763,Ratnayake A P Nissanka
764,Paul A Nixon
765,Nizakat Khan
766,Mluleki L Nkala
767,Ashley A Noffke
768,Noor Ali Zadran
769,Noor-ul-Haq
770,Marcus J North
771,Makhaya Ntini
772,Ashley Renaldo Nurse
773,Nurul Abedin
774,Nurul Hasan
775,John Nyumbu
776,Alex A Obanda
777,George H O'Brien
778,Iain E O'Brien
779,Kevin Joseph O'Brien
780,Niall John O'Brien
781,Collins O Obuya
782,David O Obuya
783,Shayne B O'Connor
784,Nelson M Odhiambo
785,Nehemiah N Odhiambo
786,Simon P O'Donnell
787,Thomas M Odoyo
788,Edward O Odumbe
789,Maurice O Odumbe
790,Naman V Ojha
791,Pragyan P Ojha
792,Kerry J O'Keeffe
793,Christopher Middleton Old
794,Duanne Olivier
795,Henry K Olonga
796,Lucas  Oluoch
797,Ali H Omarshah
798,Peter J Ongondo
799,Graham Onions
800,Justin L Ontong
801,Lamech N Onyango
802,Antony R M Opatha
803,Jacob D P Oram
804,Henry Osinde
805,David R O'Sullivan
806,Elijah Otieno
807,Francis N Otieno
808,Kennedy O Otieno
809,Maurice A Ouma
810,Steven D Outerbridge
811,Craig Overton
812,Michael B Owens
813,Timothy David Paine
814,Steven J Palframan
815,Mangesh Panchel
816,Gyanendrakumar K Pandey
817,Manish Krishnanand Pandey
818,Chandrakant S Pandit
819,Hardik H Pandya
820,Mudhsuden S Panesar
821,Pankaj Singh
822,Rishabh Rajendra Pant
823,Tinashe Panyangara
824,Michael H W Papps
825,Jatin V Paranjpe
826,Brenton A Parchment
827,Joel S Paris
828,Ghulam A Parkar
829,John M Parker
830,Matthew A Parker
831,Norman M Parker
832,Wayne Dillon Parnell
833,Adam C Parore
834,Derek R Parry
835,Stephen D Parry
836,Parvez Ghulam Rasool Zargar
837,Nelon T Pascal
838,Leonard S Pascoe
839,Sudath P Pasqual
840,Ashish Patel
841,Ashok K Patel
842,Axar Rajeshbhai Patel
843,Brijal J Patel
844,Brijesh P Patel
845,Dipak N Patel
846,Hiral Patel
847,Jitendra M Patel
848,Jeetan S Patel
849,Kalpesh A  Patel
850,Malhar L Patel
851,Munaf M Patel
852,Pathiv A Patel
853,Rashid G M Patel
854,Rakeep R Patel
855,Samit R Patel
856,Dane Paterson
857,Grant A Paterson
858,Irfan K Pathan
859,Rayyankhan Pathan
860,Yusuf K Pathan
861,Sachith Shanaka Pathirana
862,Sandeep M Patil
863,Swapnil P Patil
864,Jason Patraj
865,Bruce M W Patterson
866,Balfour P Patterson
867,James L Pattinson
868,Rohit Kumar Paudel
869,Keemo Mandela Angus Paul
870,Thelston R O Payne
871,Stephen G Peall
872,Gerald E Peckover
873,Andrew J Penn
874,Angelo Kanishka Perera
875,Kahawalage G Perera
876,Mahawaduge Dilruwan Kamalaneth Perera
877,Mathurage Don Kusal Janith Perera
878,Narangoda Liyanaarachchilage Thisara Chirantha Perera
879,Panagodage D R L Perera
880,Suresh A Perera
881,Veerasammy Permaul
882,Nehemiah O Perry
883,Pervez Mir
884,Alviro N Petersen
885,Robin J Peterson
886,Mark J Petrie
887,Richard G Petrie
888,Aaron M Phangiso
889,Andile Lucky Phehlukwayo
890,Vernon D Philander
891,Iain L Philip
892,Norbert Phillip
893,Wayne B Phillips
894,Hemal S M Pieris
895,Kevin P Pietersen
896,Arthur D J Pitcher
897,Azeem R Pitcher
898,Oliver L Pitcher
899,Liam Edward Plunkett
900,Patrick I Pocock
901,Nosaina Pokana
902,Keiron A Pollard
903,Victor Pollard
904,Shaun M Pollock
905,Ricky Thomas Ponting
906,Riaz H Poonawala
907,Navdeep S Poonia
908,Nicholas Pooran
909,Graeme D Porter
910,William Thomas Stuart Porterfield
911,Nic Pothas
912,Ramesh R Powar
913,Daren B Powell
914,Kieran Omar Akeem Powell
915,Rovman Powell
916,Ricardo L Powell
917,Andrew D Poynter
918,Stuart W Poynter
919,Manoj M Prabhakar
920,Aththachchi Nuwan Pradeep Roshan Fernando
921,Bapu Krishnarao Venkatesh Prasad
922,Kariyawasam Tirana Gamage Dhammika Prasad
923,Mannava S K Prasad
924,Seekkuge Prasanna
925,Dwaine Pretorius
926,Raymond William Price
927,Mark W Priest
928,Ashwell Gavin Prince
929,Christopher Pringle
930,Donald J Pringle
931,Derek Raymond Pringle
932,Meyrick W Pringle
933,Matthew J Prior
934,Subasinghe Mudiyanselage Ashan Priyanjan
935,Cheteshwar Arvind Pujara
936,Yodhin Punja
937,Karuppiahyage Ravindra Pushpakumara
938,Muthumudalige Pushpakumara
939,Pawuluge Malinda Pushpakumara
940,Andrew G Puttick
941,Andrew J Pycroft
942,Milton R Pydanna
943,Qadeer Ahmed
944,Qaiser Ali
945,Qasim Omar
946,Kagiso Rabada
947,Carl Grau Rackemann
948,Neal V Radford
949,Clive T Radley
950,Raees Ahmadzai
951,Rafiqul Alam
952,Rafiqul Islam
953,Ajinkya M Rahane
954,Rahat Ali
955,Rahmat Shah
956,Pipi Raho
957,Kannaur Lokesh Rahul
958,Suresh Kumar Raina
959,Edward C Rainsford
960,Lallit Narayan Rajbanshi
961,Rajin Saleh
962,Chandrasekara Arachchilage Kasun Rajitha
963,Lalchand S Rajput
964,Sagi Lakshmi Venkatapathy Raju
965,Woorkeri V Raman
966,Champaka P H Ramanayake
967,Ryan Ramdass
968,Denesh Ramdin
969,Rameez Shahzad
970,Sadagopan Ramesh
971,Ramiz Raja
972,Dinanath Ramnarine
973,Ravindranath Rampaul
974,Mark R Ramprakash
975,Darren R Ramsammy
976,Ramveer Rai
977,Anura N Ranasinghe
978,Sirimewan K Ranasinghe
979,Arjuna Ranatunga
980,Dammika Ranatunga
981,Nishantha Ranatunga
982,Sanjeeva Ranatunga
983,Seth Hayden Arnold Rance
984,Ujesh Ranchod
985,Derek W Randall
986,Randhir Singh
987,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla
988,William Boyd Rankin
989,Mohammad Raqibul Hasan
990,Raqibul Hasan
991,Adil Usman Rashid
992,Rashid Khan
993,Rashid Khan
994,Rashid Latif
995,Rashid Zia
996,Vikram S Rathore
997,Nilantha L K Ratnayake
998,Rumesh Joseph Ratnayake
999,Joseph Ravindran Ratnayeke
1000,Ajay Ratra
1001,Sanjay S Raul
1002,Damien Apa Ravu
1003,Peter W E Rawson
1004,Ambati T Rayudu
1005,Raza Hasan
1006,Raza-ur-Rehman
1007,Vivek Razdan
1008,Christopher Mark Wells Read
1009,Bharat Reddy
1010,Aaron J Redmond
1011,Rodney E Redmond
1012,Ian R Redpath
1013,Darren J Reekers
1014,Dermot A Reeve
1015,Basant Regmi
1016,Bruce A Reid
1017,Charles A Reid
1018,John F Reid
1019,Richard B Reid
1020,Floyd L Reifer
1021,Paul R Reiffel
1022,Gavin J Rennie
1023,John A Rennie
1024,John B Reva
1025,Jonathan N Rhodes
1026,Steven John Rhodes
1027,Clive E B Rice
1028,Austin C L Richards
1029,Clifton J Richards
1030,Dale M Richards
1031,Isaac Vivian Alexander Richards
1032,David J Richardson
1033,Edward J Richardson
1034,Jhye Avon Richardson
1035,Kane W Richardson
1036,Mark H Richardson
1037,Richard B Richardson
1038,Michael J R Rindel
1039,Emmanuel B Ringera
1040,Harry P Rinke
1041,Michael J Rippon
1042,Gregory Michael Ritchie
1043,Stephen J Rixon
1044,Chundangapoyil Puthiyapurayil Rizwan
1045,Rizwan Ahmed
1046,Rizwan Cheema
1047,Rizwan Latif
1048,Rizwan-Uz-Zaman
1049,Kemar A J Roach
1050,Andrew D G Roberts
1051,Anderson M E Roberts
1052,Stuart J Roberts
1053,Gary K Robertson
1054,Gavin R Robertson
1055,Jacobi Robinson
1056,Richard D Robinson
1057,Robert T Robinson
1058,Robiul Islam
1059,Liam Nicholas Roche
1060,Barney G Rogers
1061,Glenn A Rogers
1062,Rohan Mustafa
1063,Rokhan Barakzai
1064,Tobias Skelton Roland-Jones
1065,Irvine H Romaine
1066,Leon C Romero
1067,Luke Ronchi
1068,Graham R J Roope
1069,Joseph Edward Root
1070,Brian C Rose
1071,Franklyn A Rose
1072,Rilee Roscoe Rossouw
1073,Lawrence G Rowe
1074,Jason Jonathan Roy
1075,Rubel Hossain
1076,Jacobus A Rudolph
1077,Rumman Raees
1078,David B Rundle
1079,Mark W Rushmere
1080,Andre Dwayne Russell
1081,Robert Charles Russell
1082,Hamish D Rutherford
1083,Kenneth Robert Rutherford
1084,Jesse Daniel Ryder
1085,Hafiz Saad Nasim
1086,Saadat Ali
1087,Sabbir Rahman
1088,Sadiq Mohammad
1089,Saeed Ajmal
1090,Saeed Anwar
1091,Saeed Azad
1092,Saeed-Al-Saffar
1093,Sagar Pun
1094,Anil K Sah
1095,Wriddhiman Prasanta Saha
1096,Saiful Islam
1097,Sajid Ali
1098,Sajjad Ahmed
1099,Sajjad Akbar
1100,Salahuddin Ahmed
1101,Saleem Altaf
1102,Saleem Elahi
1103,Saleem Malik
1104,Saleem Pervez
1105,Saleem Raza
1106,Saleem Yousuf
1107,Salim Jaffer
1108,Ian D K Salisbury
1109,Salman Butt
1110,Salman Faris
1111,Salman Farooq
1112,George Salmond
1113,Aavishkar M Salvi
1114,Abdool M Samad
1115,Johanne A Samarasekera
1116,Maitipage Athula Rohitha Samarasekera
1117,Dulip Prasamma Samaraweera
1118,Thilan Thusara Samaraweera
1119,Wedagedara Sadeera Rashen Samarawickrama
1120,Sameer Zia
1121,Sami Aslam
1122,Samiullah Khan
1123,Samiullah Shenwari
1124,Samiur Rahman
